slice,VertLevel,area,angle_AP,angle_RL,diameter_AP,diameter_RL,eccentricity,orientation,solidity,torsion
1,11.0,16.988930590457734,0.8127395993552861,22.774307069917505,5.545572693414196,3.7142341279533495,0.7425729834048841,54.53579226393829,0.9736842105263158,41.53726527226117
2,11.0,20.50358024346653,0.8769124106037323,22.77409802015392,4.511353514233314,5.510325273880926,0.5742076195986344,12.953854909646468,0.9869960988296488,20.50034032382606
3,11.0,7.616595285772666,0.9336821050811068,22.75746595359833,2.248466612577233,3.817729519409072,0.8081663260537717,10.89024180694441,0.959409594095941,22.091557907836073
4,11.0,8.204718772937493,0.9830492638182292,22.72439886958449,2.556427434641896,3.7368820697383422,0.7293811230766987,15.151484258440464,0.9210526315789472,18.242871989318683
5,11.0,14.657309358447383,1.0250144511303902,22.675315851198505,4.883631891291109,3.653958953339881,0.6634679785200283,49.11203639916283,0.9336823734729494,31.754737320884754
6,11.0,16.425149380966662,1.0595781899090948,22.61062587688027,3.9411477717282937,5.0368012394952375,0.6226870759919914,33.155830742714365,0.9774557165861514,19.822457492395316
7,10.0,17.023323313314314,1.0867409406249111,22.53028504483987,3.8935440792791662,5.326449080882301,0.6823950184498024,26.800637763568407,0.96,17.672882272581408
8,10.0,21.149557200020634,1.1065030840384484,22.434239023423597,4.360442298911956,5.902043571628673,0.6739218168089266,5.191744988354386,0.9763092269326684,16.44751078637493
9,10.0,21.168598920499623,1.1191123784093184,22.32737982527953,4.367733871137851,5.9196030681321785,0.6749724788926281,4.766505598340741,0.9800747198007472,9.132814996825044
10,10.0,25.3086294652581,1.1248164752147514,22.214623322973488,4.707901287713038,6.68566713529747,0.7100227274439296,4.722114188389964,0.9587109768378652,4.686309872509528
11,10.0,24.74454087036725,1.1236154548725763,22.095942248506542,5.124179855421437,5.969147077199087,0.5129058481266596,0.8948204004652975,0.9717868338557992,3.301259998473906
12,10.0,25.359897970992883,1.1155093003936558,21.97130807626305,4.573078583760107,6.821603930137328,0.74201595552772,4.734388924831634,0.9854922279792746,1.604407138179427
13,10.0,27.158413533067343,1.100497897904627,21.84069104516647,5.0090882107108925,6.727497373774606,0.6675445206495434,3.036369262792768,0.9545032497678736,1.6669623536114753
14,10.0,26.032467807191708,1.078581040176187,21.70406018268315,4.765404868625297,6.893465700167938,0.7225740232059795,2.725359430925728,0.9642512077294686,2.178568204077458
15,10.0,26.10233126778205,1.04975843315762,21.561383330787905,4.822953680017096,6.860797101358329,0.7112162260076023,2.6989551860169603,0.9327731092436976,2.089232509767039
