slice,VertLevel,area,angle_AP,angle_RL,diameter_AP,diameter_RL,eccentricity,orientation,solidity,torsion
0,7.0,38.85213180842048,2.6019975640968798,25.858252060548065,6.031978069309039,8.261709215210361,0.6833266133814057,7.379245543837472,0.9539141414141414,2.2993657149479274
1,7.0,42.866022688297626,2.5291345370878475,25.710687294154805,6.200889091901998,8.820259990526317,0.711162035006361,7.373168524877539,0.952408256880734,2.44257623005572
2,7.0,43.33678277040258,2.4571273794590867,25.56536208892301,6.574743015539244,8.339085490530943,0.615130666027342,10.157183657217912,0.9830011723329426,2.2615282368064937
3,7.0,42.67342367315213,2.3859766011005905,25.42229603619058,6.410557447226724,8.429753387281666,0.6493751779109538,11.493327556340882,0.9530978575564564,3.8198899689935573
4,7.0,42.41919009155539,2.315682692596952,25.28150834526672,6.492715760553586,8.211236595591231,0.6121891983267267,10.233222262336772,0.985480943738657,3.1910709214074005
5,7.0,44.74753598417201,2.2462461256894715,25.14301784280368,6.341236597201817,8.887687954844495,0.7006697651099365,5.823678223148084,0.967687074829932,2.931549946106004
6,7.0,40.97685355694005,2.177667353734028,25.006842972369707,5.856736777782335,8.853868874814223,0.7499547023444844,5.074127312666165,0.9806007509386734,3.398113234540681
7,7.0,44.71754932073917,2.1099468121545577,24.873001794215423,6.46940745542739,8.741932251295557,0.6725591023831315,4.851633359333865,0.9710720363017584,2.765298918006254
8,7.0,41.96032433675221,2.0430849188921267,24.741511985226065,6.011237564920178,8.8175037268082,0.7315951364320163,7.278683319036656,0.97930614729154,1.7124277489018003
9,7.0,43.8217713538728,1.977082074849488,24.612390839051752,6.67619131240719,8.381386595491575,0.6045726868813734,10.707910656380214,0.9715909090909092,4.256120572573965
10,7.0,43.35130269622314,1.911938664331048,24.48565526640791,6.280322082796449,8.93599541183332,0.7113757283017157,6.583971890472829,0.9687854710556186,2.121277620668945
11,7.0,45.75351586117068,1.847655055478182,24.36132179553773,6.5035662277480695,9.080550267387745,0.6978862699222443,7.342699984578219,0.971769815418024,1.9507680268136915
12,7.0,45.221914636717095,1.7842316006998302,24.239406572828575,6.531483334713426,8.969843042256173,0.6854066709907322,7.579624636749759,0.971682398667407,2.2078245196298236
13,7.0,45.70900152719533,1.7216686370982928,24.1199253635742,6.691321476474486,8.691742701184987,0.6382268971885638,2.1616757324516533,0.9742183214481624,4.270645956677896
14,7.0,45.00180803096964,1.659966486890179,24.0028935528744,6.624424889237887,8.591774096262839,0.6368113238482247,5.243996159443124,0.973109243697479,2.7229370608400814
15,7.0,44.81047363518662,1.5991254578224434,23.88832614666387,6.419410375691024,8.782911764779266,0.6824867563202515,8.712130954845032,0.9640852974186308,4.8099875860744525
16,7.0,44.69339924783909,1.5391458435834455,23.776237772862096,6.522609002528359,8.55468287421165,0.6470343281426982,3.131506508688335,0.969248291571754,2.772455639138712
17,7.0,42.41569553898921,1.480027924208977,23.666642682635665,6.341777080569865,8.380578725980088,0.6537353338791629,2.0036509699925342,0.9619726678550208,4.818747047825887
18,6.0,44.20330493468396,1.4217719664832216,23.559554751764946,6.664294087184925,8.338551324423532,0.6010451188694237,3.292406205298068,0.97134670487106,3.8467527111181092
19,6.0,44.4341688148636,1.3643782243345637,23.454987482106777,6.890134515627372,8.20098577947695,0.5423393042298948,9.814540235066906,0.957841483979764,5.873007264382938
20,6.0,44.02280023236149,1.307846939226225,23.352954003144863,6.746852294466431,8.18034742124077,0.5654774073835352,10.739808043569068,0.9917598587404356,6.281877083551376
21,6.0,43.021860826062,1.2521783405416742,23.253467073619788,6.334809235355045,8.59158924874048,0.6755359552858071,1.05080548809148,0.9851543942992874,9.568597070440562
22,6.0,44.23672710153745,1.197372645964755,23.15653908323039,6.703561807624868,8.408440657386508,0.6036595562930481,14.347524244665172,0.9794285714285714,5.836503843074517
23,6.0,42.54912896118421,1.1434300618545017,23.062182054398587,6.685910871536039,8.18952351663013,0.5774892710372665,18.025525067953943,0.983957219251337,7.251886817215072
24,6.0,43.809331512655575,1.0903507836146031,22.97040764408965,6.828852229500613,8.181000824785164,0.5506728908814263,7.496611554639101,0.9827089337175792,7.815032066751975
25,6.0,45.02497665455081,1.0381349960574608,22.88122714567996,6.734710934555736,8.508473530120703,0.6111301774699719,17.400214822529378,0.9853190287972896,5.319757240418806
26,6.0,45.64901101916782,0.9867828737628228,22.79465149086471,6.841528241379325,8.58426650792532,0.6039993069298402,13.606865350939024,0.964516129032258,5.0715914064655125
27,6.0,45.66979355673234,0.93629458143095,22.710691251597744,6.850155282267506,8.558600296773246,0.5994891272619743,14.547314621072214,0.9850746268656716,5.2806970467369885
