slice,VertLevel,area,angle_AP,angle_RL,diameter_AP,diameter_RL,eccentricity,orientation,solidity
1,10.0,40.36391475557506,0.2159686695995922,18.043797136744825,5.829536709679722,8.910078460205153,0.7562669015280891,8.593530154416285,0.9563900666262872
2,10.0,41.82680747667188,0.1526846284143499,18.27140640503193,5.825483546026478,9.10586238770226,0.7685823323861672,7.320938545138305,0.9555423829282752
3,10.0,41.14875991004829,0.0904154304171027,18.49882394482132,5.56649219045234,9.32283016491629,0.8021803583835525,4.881541894017418,0.9831038798498124
4,10.0,44.10861200650876,0.0291612368055267,18.726041765159493,5.720545985317374,9.593514691354278,0.802766851081039,3.080217474297124,0.951539338654504
5,10.0,42.83525051067493,-0.0310778055472487,18.95305191995444,5.595846477238344,9.63506449396048,0.8140610226730822,5.418799663452818,0.9511911679256246
6,10.0,41.83772423769006,-0.090301563517946,19.179846509460653,5.546666129323002,9.556746185622858,0.8143367020457292,3.878873856515732,0.9746529873264936
7,10.0,44.36820429186682,-0.148509917167533,19.406417681741,5.762372171834198,9.85882905550702,0.8114019949861004,4.312576448304533,0.947888096544158
8,10.0,42.335832059203504,-0.2057027591847575,19.632757634104788,5.518880135996135,9.75099465990822,0.8244181134905606,4.356960808065106,0.972073677956031
9,10.0,41.96696138308464,-0.2618799943388719,19.85885861452156,5.299589195251111,9.906881907827882,0.8448899356506687,3.968247669833553,0.9772587584511372
10,10.0,43.69415131170636,-0.3170415389415935,20.08471292300981,5.643189805237664,9.730277927629665,0.8146436486722165,5.848918286526832,0.9501432664756448
11,10.0,42.42665055002983,-0.3711873203183444,20.31031291300028,5.425174050248217,9.77439216709733,0.8318239707681345,4.199911689360295,0.9493521790341578
12,10.0,41.45528207046771,-0.4243172762888087,20.53565099267314,5.352799979171307,9.90057023151933,0.8412439519698953,5.49222321386801,0.971584038694075
13,10.0,39.83878082810587,-0.4764313546568452,20.760719626268585,5.142938955889276,9.97065100671883,0.8567043690790528,2.7421678179471503,0.9291244788564622
14,10.0,40.19892955051,-0.5275295127097871,20.98551133537038,5.414112559077662,9.476314835660151,0.8207197286773422,5.611033822792562,0.9836272040302269
15,10.0,42.13612150857693,-0.5776117167271653,21.210018700161903,5.668744630873983,9.38613864077009,0.7970233205957763,7.204554532382228,0.9465020576131687
16,9.0,41.46882616029645,-0.6266779414988725,21.43423436065409,5.575864111282259,9.348493766069993,0.8026538102172958,6.588346419238141,0.9558912386706948
17,9.0,40.80276816617531,-0.6747281698528091,21.658151017885118,5.356010244990571,9.591578804968332,0.8295667435688974,6.173736200475392,0.976279650436954
18,9.0,44.859852522756086,-0.7217623921920231,21.881761435091097,5.962446771820052,9.674424831126435,0.787503478437446,4.14960253652026,0.962800875273523
19,9.0,41.19476496317498,-0.7677806060413683,22.10505843884779,5.686737847059938,9.375258670472451,0.7950311264344325,7.104767658868766,0.964200477326969
20,9.0,41.93447491813079,-0.8127828156036989,22.328034920182645,5.506668616316831,9.66562013297946,0.8218409089779667,4.208487889275814,0.9398364485981308
21,9.0,40.49949364778933,-0.8567690313256247,22.550683835657,5.318007493702894,9.565938499043453,0.8312280410959125,6.695222330546676,0.9501231527093597
22,9.0,42.82405826728326,-0.8997392694728319,22.77299820841825,5.5443859959478985,9.768128417842542,0.8233047244484787,6.491902127707011,0.9464902186421174
23,9.0,45.66837655515708,-0.9416935517149894,22.994971129221405,6.100739424623932,9.670794172161507,0.7759116285924424,5.465478298175614,0.9644779332615716
24,9.0,42.0581355102159,-0.9826319047202466,23.21659575742009,5.523634806569212,9.869246588769338,0.8287077955487409,3.642617344118922,0.9845422116527944
25,9.0,43.34281239528031,-1.0225543597593425,23.437865321926672,5.700359777458063,9.639490049103712,0.8064114145751121,1.0701502211743483,0.943374858437146
26,9.0,42.42565517216917,-1.0614609523193226,23.65877312214114,5.487599349990687,9.70875171704731,0.8249388909108003,2.6885609808232243,0.95475910693302
27,9.0,45.68968182764621,-1.0993517217268802,23.879312528848857,5.868891398728628,9.879359320813103,0.8044237832353528,6.33922187266579,0.9671232876712328
28,9.0,43.579169348163234,-1.1362267107813175,24.09947698508673,5.561032273730701,10.067855794557628,0.8336088758929883,3.967690295757782,0.9533183352080988
29,9.0,45.1193858143005,-1.1720859653971467,24.319260006978,5.730626620998911,9.988460752463194,0.8190482109061398,3.0509108321298903,0.9618362831858408
30,9.0,44.468690286472295,-1.2069295342563122,24.538655184535155,5.524444360479223,10.092487456089284,0.8368829789902391,3.976614255779672,0.9506449803701628
31,9.0,44.91921479307748,-1.240757468470057,24.757656182431266,5.509759253107236,10.246281715680094,0.8431154716707158,5.027748192070947,0.946527012127894
32,9.0,45.53282842187146,-1.273569821250427,24.974280221253405,5.656190007204251,10.341169850754897,0.8371597684032789,1.031909615320748,0.951974386339381
33,9.0,46.06993280089733,-1.3053666475913994,25.18657235299905,5.76671964447719,10.41553933182585,0.8327394918951985,2.5262019406768306,0.9503657262277952
34,9.0,48.56985683897179,-1.3361480039596605,25.394567803829656,5.836782477316582,10.471443407016068,0.8302440895771463,1.1685222469916026,0.9732423924449108
35,9.0,46.19420506052517,-1.3659139479950075,25.59830145703324,5.365389956141444,10.823268895183382,0.8684782299118506,1.3766835776333364,0.9434475258292552
36,9.0,46.0976659547395,-1.3946645382203895,25.797807829153225,5.418024617696301,10.874262999060525,0.8670374769411938,2.621492227313193,0.940772078265468
37,9.0,46.45864253109276,-1.4223998337615722,25.99312104758572,5.240212401099548,11.349757788274744,0.8870347974357816,1.901472305100879,0.9732334047109208
38,9.0,46.12588039795593,-1.449119894076428,26.184274829579643,5.517430205449161,10.74637451173188,0.8581359808079765,2.050351271620364,0.9421357180431352
39,9.0,44.320924900156086,-1.474824778693851,26.37130246257577,5.283467512649978,10.52484945669598,0.8648680012620934,1.9995374675865007,0.9414389291689904
40,9.0,44.63987958332928,-1.4995145469622877,26.554236785822145,5.081108071349145,11.043159831114089,0.8878600516157956,1.0055100789537466,0.9327082184225042
41,9.0,46.56736659045062,-1.5231892578078734,26.733110173205187,5.334749800513294,11.01934781351263,0.8749984445062032,2.0915066449559268,0.95
42,9.0,44.93655163028945,-1.5458489695021875,26.90795451723738,5.217211896384591,11.153217880499112,0.8838468517793867,2.055025657376063,0.9350718467269824
43,9.0,43.841492587662735,-1.5674937394396016,27.078801214144224,5.219734034165821,10.676678657563803,0.8723447790274764,1.4000518429117983,0.950483779169038
44,8.0,44.30257364573929,-1.5881236239242265,27.24568114999499,5.320387428869887,10.52897392486156,0.8629383574395888,0.2250494498502731,0.9388888888888888
45,8.0,44.3291783551829,-1.6077386779664495,27.40862468782339,5.351009784962482,10.536425312812389,0.8614406937362151,0.3789889117527856,0.943458980044346
46,8.0,45.72082317808641,-1.6263389550890557,27.5676616556862,5.456038027485494,10.7507227200691,0.8616492231140633,0.8274151741514667,0.940646528881823
47,8.0,47.28435810325902,-1.643924507142932,27.72282133560973,5.532536276368819,10.912811773541334,0.8619600295170945,1.5475100533994084,0.9478575116159008
48,8.0,48.46727244231887,-1.6604953841323349,27.874132453375505,5.869273282501256,10.56597804168707,0.8315245987907998,1.3600433439198842,0.9639917695473252
49,8.0,48.74939602661454,-1.6760516340497404,28.02162316909868,5.752583967375432,10.710297302540408,0.8435136256567247,0.1905122290170615,0.9280039721946376
50,8.0,50.319034820943095,-1.690593302720239,28.16532106855408,5.907148498340108,10.764773737631534,0.8359877915985969,0.9873341368118742,0.9531327084361124
51,8.0,48.72117844193151,-1.704120433655498,28.305253155206792,5.864400947388884,10.683958856337672,0.8358895041344215,0.3546529291776695,0.9656912209889
52,8.0,50.22223833749689,-1.7166330679172723,28.441445842905573,5.6861437554735765,11.157270555650989,0.8603902718371447,0.5729406760115192,0.9736575481256332
53,8.0,49.699691689453886,-1.7281312439904533,28.573924949199533,5.712508996212481,11.054619165020442,0.8561344567781983,2.6922221241504296,0.967155128852956
54,8.0,49.14045316626133,-1.7386149976656695,28.70271568923932,5.598447768806478,11.1808853058213,0.8656116467503938,0.0174340220334355,0.969836400817996
55,8.0,48.30829204585248,-1.7480843619314177,28.82784267022683,5.701441143609507,10.805447079047282,0.8494649224067033,1.9226849083378297,0.9694300518134716
56,8.0,50.62617066596599,-1.7565393668757174,28.94932988637769,5.934031643439826,10.949846101185392,0.8404247151089771,1.0269007918863609,0.946480231436837
57,8.0,49.29089169135423,-1.7639800395973055,29.06720071436336,5.870559041239546,10.73546352017418,0.8372384596696912,0.1535136557316652,0.9814719505918682
58,8.0,47.712302943965526,-1.7704064041263476,29.181477909200584,5.846268838927878,10.45356873645147,0.8289919250250866,0.8243753312441967,0.932589964521034
59,8.0,48.9717239427805,-1.7758184813546676,29.29218360055763,5.800894786844116,10.8092807864362,0.8437993947957002,0.8736961599686581,0.965763924374042
60,8.0,49.19890683904733,-1.7802162889754964,29.39933928944781,5.756376390001965,10.883594508090948,0.8486816752878387,1.0017851896986174,0.9699745547073793
61,8.0,49.68906994202805,-1.7835998414327316,29.50296584528273,5.89582162510064,10.7688938090494,0.8368146579748452,0.6147153899890612,0.955940594059406
62,8.0,52.37462612957653,-1.7859691498797174,29.603083503258407,5.795259227626788,11.495379778089577,0.8636230364893989,4.451085941007824,0.9792870905587668
63,8.0,49.86743581037512,-1.787324222147518,29.69328229428518,5.76760034368471,11.080462131103149,0.8538495764276295,0.9444466453154124,0.9578790882061446
64,8.0,51.553625654726304,-1.7876650627227204,29.76719441725907,5.860284080759119,11.119200304898028,0.849839320776799,0.8741457274014971,0.97216796875
65,8.0,51.57061023335129,-1.7869916727347206,29.824891207081148,5.8844670777499415,11.05695361042361,0.8466211433655306,1.1347892656616303,0.9387173396674584
66,8.0,52.68499802843336,-1.785304049952541,29.866428426456423,6.010717697892426,11.145766359948484,0.8421248679249818,2.251199242905852,0.9888403687530324
67,8.0,53.26317314661448,-1.7826021887911336,29.891846261891317,6.191501424838129,10.919548476040845,0.8237103883037905,0.9712860185496875,0.9523809523809524
68,8.0,53.33387075739816,-1.778886080327201,29.901169321735555,5.957785116401971,11.30985466541059,0.8500027683800615,0.2614673943798614,0.9547363509099394
69,8.0,53.3322547611297,-1.7741557123245253,29.894406635364117,6.042227415229499,11.172858347018684,0.8411543402821272,1.1673272509389256,0.9639006094702296
70,7.0,54.99911442956577,-1.7684110692687984,29.871551652949176,6.185365984517761,11.195113537572672,0.8335090039691907,0.289322815203896,0.9678899082568808
71,7.0,51.75544249391864,-1.7616521324119687,29.832582245621705,5.92062609084192,11.141106995820705,0.8471074134800356,1.9105964430130984,0.9814814814814816
72,7.0,52.88900741384932,-1.753878879826101,29.777460706167886,5.9555817230908135,11.2703237935933,0.8489766258052773,1.8460259422289012,0.9566037735849056
73,7.0,54.01402796310322,-1.7450912864667432,29.70613375075457,5.965756149025571,11.571145432051184,0.8568463868042444,0.9080790699887976,0.9615736505032022
74,7.0,54.0710126851319,-1.7352893242458212,29.618532522530952,5.924259642790991,11.65934202869382,0.8612905979848936,0.657808048982201,0.9749884205650764
75,7.0,55.76710540712896,-1.7244729621140469,29.51457259831796,6.095801841133942,11.815753065544712,0.8566460188401527,1.4373964913289137,0.9571175950486296
76,7.0,56.93282271979401,-1.7126421661528517,29.39415399997327,6.121110130965342,11.995980920976423,0.8600181698201929,0.1008200958979655,0.9643633202955236
77,7.0,57.56611148466087,-1.69979689967585,29.257161212414687,6.217250434246758,12.025608938763536,0.8559848640413568,1.304460584607161,0.9502551020408164
78,7.0,57.06459292894998,-1.68593712333984,29.10346321070119,6.089455737000831,11.977181142684625,0.8611083757713435,2.683626589452398,0.9561441597915762
79,7.0,58.1316338398516,-1.6710627952653268,28.932913499011725,6.316633501611254,12.00199789046322,0.85029988098008,3.61385130230096,0.945211208699289
80,7.0,57.94850314581747,-1.6551738711666055,28.74535016483322,6.0509264427858565,12.281467836455008,0.8702062781423489,0.0957327053147984,0.966021505376344
81,7.0,58.99312955095232,-1.638270304491377,28.540595952172065,6.178761572398897,12.2223718047152,0.8628097015079291,2.7623147880592667,0.950313152400835
82,7.0,58.79306582505945,-1.6203520465699264,28.318458358143243,6.106340821342902,12.261764613637212,0.8671778701915944,1.717231273026386,0.9462723865056226
83,7.0,59.40761082451581,-1.6014190467738514,28.078729757869745,6.376379685625277,11.998925522296462,0.8471131535520633,0.1345316298015272,0.957166392092257
84,7.0,61.57616147205006,-1.581471252684358,27.8211875632456,6.44347670675297,12.197411181150374,0.8490789786101433,1.5492665278169444,0.9560129136400324
85,7.0,63.89252468027232,-1.5605086102701289,27.545594421780425,6.918548704835866,11.81292270820143,0.8105450557454539,2.220123495777353,0.9863563402889246
86,7.0,61.59839822462746,-1.538531064074752,27.25169846245325,6.563149581183526,12.00908762183686,0.8374491484893236,1.1204358194894564,0.9664781906300484
87,7.0,60.0550291646762,-1.5155385574137537,26.939233596258735,6.647329225663415,11.513769639992685,0.816505717666873,2.3752173362134807,0.9723154362416108
88,7.0,58.99159963449856,-1.4915310325811972,26.607919879929405,6.48944527845595,11.590603899751294,0.8285679941925429,3.592564654118322,0.9463617463617464
89,7.0,60.479257783189794,-1.4665084310658831,26.257463952159743,6.546911343982754,11.80754195919203,0.832204640509009,3.287814157140931,0.9728827701293284
90,7.0,57.205496677019134,-1.4404706937771468,25.88755955253864,6.1161315426356015,12.015312464929174,0.8607499082890535,3.016344584200828,0.9514813224559896
91,6.0,59.85774226775867,-1.413417761280258,25.49788813430823,6.392728300508728,11.958085943461615,0.8451086333334955,6.79749638600032,0.95616211745244
92,6.0,60.03552686167972,-1.385349574041432,25.088119582999965,6.282445383998155,12.29034557335407,0.8594801392309096,5.078610979073981,0.9502024291497976
93,6.0,61.59185804422544,-1.356266072682451,24.657913053940334,6.250498566684278,12.37189835030792,0.8629920963685858,5.397531553550322,0.9584182633509988
94,6.0,60.406748512965166,-1.326167198244903,24.218667825156867,6.28052908305146,12.398274261457887,0.8622019037870935,4.518557793172997,0.9336511720301948
